PID,Processname,process Create TIme,Local Address&port,Remote Address&port
44,khugepaged,34-18:12:39,192.168.2.1:22,192.168.2.44:49724
91,kintegrityd,34-18:12:39,192.168.2.1:46128,35.83.91.138:443
92,kblockd,34-18:12:40,192.168.2.1:22,192.168.2.44:49724
93,blkcg_punt_bio,34-18:12:40,,
94,tpm_dev_wq,34-18:12:40,192.168.2.1:22,192.168.2.44:49724
95,ata_sff,34-18:12:40,,
96,md,34-18:12:40,192.168.2.1:22,192.168.2.44:49622
97,edac-poller,34-18:12:40,192.168.2.1:22,192.168.2.44:49724
98,devfreq_wq,34-18:12:40,,
99,watchdogd,34-18:12:41,192.168.2.1:22,192.168.2.44:49724
101,kworker/0:1H-kblockd,34-18:12:41,,
103,kswapd0,34-18:12:41,,
104,ecryptfs-kthrea,34-18:12:41,,
106,kthrotld,34-18:12:41,,
108,irq/24-pciehp,34-18:12:41,,
109,irq/25-pciehp,34-18:12:41,,
110,irq/26-pciehp,34-18:12:42,,
111,irq/27-pciehp,34-18:12:42,,
112,irq/28-pciehp,34-18:12:42,,
113,irq/29-pciehp,34-18:12:42,,
114,irq/30-pciehp,34-18:12:42,,
115,irq/31-pciehp,34-18:12:42,,
